"site number","site location","Cluster","site acronym","date","sample type","conductance (uS/cm)","chl A (ug/L)","phaeophytin (ug/L)","phaeophytin chl A (ug/L)","chlorophyta (organisms/ml)","cyanophyta (organisms/ml)","bacillariophyta (organisms/ml)","total (organisms/ml)","algae comments"
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2012-11-05",NA,1115,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2012-11-05",NA,547,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2012-11-05",NA,837,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2012-11-05",NA,840,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2012-11-05",NA,819,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2012-11-05",NA,752,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2012-11-05",NA,603,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2012-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2012-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2012-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt River Inlet","salt","SRNR","2012-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2012-11-05",NA,1057,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2012-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2012-11-05",NA,820,NA,NA,NA,NA,NA,NA,NA,NA
"AN IN","Inlet to Anthem Water Treatment Plant","srp","az canal","2012-12-05",NA,838,NA,NA,NA,NA,NA,NA,NA,NA
"CH IN","Inlet to Chandler Treatment Plant","srp","az canal","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glen In","2012-12-05",NA,983,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2012-12-05",NA,761,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of Consolidated Canal","az canal","HOC","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2012-12-05",NA,999,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2012-12-05",NA,1070,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the consolidated canal","az canal","MOC","2012-12-05",NA,1395,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2012-12-05",NA,1034,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2012-12-05",NA,1077,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2012-12-05",NA,1071,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2012-12-05",NA,965,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2012-12-05",NA,1040,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2012-12-05",NA,575,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2012-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2012-12-05",NA,569,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2012-12-05",NA,577,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2012-12-05",NA,1229,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2012-12-05",NA,1223,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2012-12-05",NA,1224,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2012-12-05",NA,1069,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2012-12-05",NA,1227,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2012-12-05",NA,803,NA,NA,NA,NA,NA,NA,NA,NA
"AN IN","Inlet to Anthem Water Treatment Plant","srp","az canal","2013-01-07",NA,883,NA,NA,NA,NA,NA,NA,NA,NA
"CH IN","Inlet to Chandler Treatment Plant","srp","az canal","2013-01-07",NA,1491,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glen In","2013-01-07",NA,1115,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2013-01-07",NA,842,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of Consolidated Canal","az canal","HOC","2013-01-07",NA,1063,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2013-01-07",NA,1039,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO","2013-01-07",NA,842,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the consolidated canal","az canal","MOC","2013-01-07",NA,1418,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2013-01-07",NA,1120,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2013-01-07",NA,1263,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2013-01-07",NA,547,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2013-01-07",NA,603,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2013-01-07",NA,857,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2013-01-07",NA,871,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2013-01-07",NA,839,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2013-01-07",NA,586,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2013-01-07",NA,584,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2013-01-07",NA,1259,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2013-01-07",NA,1275,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2013-01-07",NA,1257,NA,NA,NA,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt River Inlet","salt","SRNR","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salt Gila","Salt Gila Pump Station",NA,"SGPS","2013-01-07",NA,837,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2013-01-07",NA,907,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2013-01-07",NA,1184,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2013-01-07",NA,841,NA,NA,NA,NA,NA,NA,NA,NA
"AN IN","Inlet to Anthem Water Treatment Plant","srp","az canal","2013-02-04",NA,845,NA,NA,NA,NA,NA,NA,NA,NA
"CH IN","Inlet to Chandler Treatment Plant","srp","az canal","2013-02-04",NA,1317,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glen In","2013-02-04",NA,998,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2013-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2013-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of Consolidated Canal","az canal","HOC","2013-02-04",NA,1045,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2013-02-04",NA,1066,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2013-02-04",NA,1047,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO","2013-02-04",NA,844,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the consolidated canal","az canal","MOC","2013-02-04",NA,1067,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2013-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2013-02-04",NA,864,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2013-02-04",NA,1263,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2013-02-04",NA,838,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2013-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2013-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2013-02-04",NA,422,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2013-02-04",NA,434,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2013-02-04",NA,532,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2013-02-04",NA,572,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2013-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2013-02-04",NA,894,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2013-02-04",NA,822,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2013-02-04",NA,544,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2013-02-04",NA,573,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2013-02-04",NA,1224,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2013-02-04",NA,1243,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2013-02-04",NA,1251,NA,NA,NA,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt River Inlet","salt","SRNR","2013-02-04",NA,536,NA,NA,NA,NA,NA,NA,NA,NA
"Salt Gila","Salt Gila Pump Station",NA,"SGPS","2013-02-04",NA,849,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2013-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2013-02-04",NA,1140,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2013-02-04",NA,840,NA,NA,NA,NA,NA,NA,NA,NA
"AN IN","Inlet to Anthem Water Treatment Plant","srp","az canal","2013-03-04",NA,841,NA,NA,NA,NA,NA,NA,NA,NA
"CH IN","Inlet to Chandler Treatment Plant","srp","az canal","2013-03-04",NA,1446,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glen In","2013-03-04",NA,1145,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2013-03-04",NA,1075,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2013-03-04",NA,840,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of Consolidated Canal","az canal","HOC","2013-03-04",NA,1138,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2013-03-04",NA,1128,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2013-03-04",NA,1071,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO","2013-03-04",NA,846,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the consolidated canal","az canal","MOC","2013-03-04",NA,1328,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2013-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2013-03-04",NA,1066,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2013-03-04",NA,1248,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2013-03-04",NA,884,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2013-03-04",NA,1060,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2013-03-04",NA,1119,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2013-03-04",NA,526,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2013-03-04",NA,1074,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2013-03-04",NA,1075,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2013-03-04",NA,608,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2013-03-04",NA,900,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2013-03-04",NA,890,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2013-03-04",NA,855,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2013-03-04",NA,483,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2013-03-04",NA,533,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2013-03-04",NA,1256,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2013-03-04",NA,1257,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2013-03-04",NA,1251,NA,NA,NA,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt River Inlet","salt","SRNR","2013-03-04",NA,696,NA,NA,NA,NA,NA,NA,NA,NA
"Salt Gila","Salt Gila Pump Station",NA,"SGPS","2013-03-04",NA,841,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2013-03-04",NA,1090,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2013-03-04",NA,1210,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2013-03-04",NA,842,NA,NA,NA,NA,NA,NA,NA,NA
"AN IN","Inlet to Anthem Water Treatment Plant","srp","az canal","2013-04-01",NA,837,NA,NA,NA,NA,NA,NA,NA,NA
"CH IN","Inlet to Chandler Treatment Plant","srp","az canal","2013-04-01",NA,1044,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glen In","2013-04-01",NA,681,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2013-04-01",NA,732,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2013-04-01",NA,845,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of Consolidated Canal","az canal","HOC","2013-04-01",NA,805,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2013-04-01",NA,790,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2013-04-01",NA,624,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO","2013-04-01",NA,886,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the consolidated canal","az canal","MOC","2013-04-01",NA,923,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2013-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2013-04-01",NA,619,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2013-04-01",NA,1253,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2013-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2013-04-01",NA,616,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2013-04-01",NA,640,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2013-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2013-04-01",NA,651,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2013-04-01",NA,630,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2013-04-01",NA,547,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2013-04-01",NA,899,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2013-04-01",NA,914,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2013-04-01",NA,857,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2013-04-01",NA,405,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2013-04-01",NA,468,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2013-04-01",NA,1224,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2013-04-01",NA,1234,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2013-04-01",NA,1251,NA,NA,NA,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt River Inlet","salt","SRNR","2013-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salt Gila","Salt Gila Pump Station",NA,"SGPS","2013-04-01",NA,911,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2013-04-01",NA,613,NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2013-04-01",NA,975,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2013-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN IN","Inlet to Anthem Water Treatment Plant","srp","az canal","2013-05-06",NA,858,NA,NA,NA,NA,NA,NA,NA,NA
"CH IN","Inlet to Chandler Treatment Plant","srp","az canal","2013-05-06",NA,1046,NA,NA,NA,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glen In","2013-05-06",NA,804,NA,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2013-05-06",NA,738,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2013-05-06",NA,872,NA,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of Consolidated Canal","az canal","HOC","2013-05-06",NA,717,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2013-05-06",NA,703,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2013-05-06",NA,706,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"MTO","2013-05-06",NA,885,NA,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the consolidated canal","az canal","MOC","2013-05-06",NA,916,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2013-05-06",NA,704,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2013-05-06",NA,669,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2013-05-06",NA,1235,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2013-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2013-05-06",NA,635,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2013-05-06",NA,750,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2013-05-06",NA,658,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2013-05-06",NA,712,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2013-05-06",NA,704,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2013-05-06",NA,498,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2013-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2013-05-06",NA,945,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2013-05-06",NA,841,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2013-05-06",NA,370,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2013-05-06",NA,393,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2013-05-06",NA,1232,NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2013-05-06",NA,1233,NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2013-05-06",NA,1230,NA,NA,NA,NA,NA,NA,NA,NA
"Roos In","Roosevelt at Salt River Inlet","salt","SRNR","2013-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salt Gila","Salt Gila Pump Station",NA,"SGPS","2013-05-06",NA,872,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2013-05-06",NA,637,NA,NA,NA,NA,NA,NA,NA,NA
