site number,site location,Cluster,site acronym,date,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,NA,1.814,1.734,0.0293,0.016897347,35.7,449.38,35.66,33.07,21.08,1.691650854,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2000,NA,2.313,2.308,0.0322,0.013951473,26.36,442.55,24.87,23.45,13.96,1.781518625,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2000,NA,2.026,2.005,0.0363,0.018104738,41.38,438.26,40.11,37.38,23.72,1.690978078,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2000,NA,1.826,1.852,0.0348,0.018790497,48.28,438.81,46.47,39.61,22.19,2.094186571,NA
field_blank,field blank,NA,NA,2000,field blank,NA,0.094,0.0011,0.011702128,NA,NA,NA,NA,NA,NA,NA
lab_blank,laboratory blank,NA,NA,2000,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2000,NA,3.1,3.007,0.0494,0.016428334,47.4,451.6,46.82,44.55,25.77,1.816841288,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2000,NA,2.987,2.972,0.0266,0.008950202,20.86,436,19.98,18.72,10.67,1.872539831,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2000,NA,3.468,3.164,0.0482,0.015233881,48,444.01,46.95,45.07,26.26,1.787890327,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2000,NA,3.008,2.848,0.0399,0.014009831,43.73,447.02,42.53,39.37,22.83,1.862899693,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2000,NA,2.994,3.075,0.0458,0.014894309,46.2,443.08,44.89,41.69,24.56,1.82776873,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2000,NA,3.058,3.042,0.0408,0.013412229,43.88,448.64,43.25,39.82,23.71,1.824124842,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2000,NA,3.22,3.151,0.0421,0.013360838,39.76,443.27,38.45,36.98,21.18,1.815391879,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,2000,field duplicate,3.194,3.314,0.0417,0.012582981,39.09,438.47,38.02,35.26,20.8,1.827884615,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2000,NA,1.488,1.484,0.0322,0.021698113,48.37,445.38,47.85,45.95,27.51,1.739367503,NA
R20ex,Verde River at Tangle,verde,verde abv horseshoe,2000,extra sample,1.305,1.301,0.035,0.026902383,66.44,448.87,66.25,63.18,40.02,1.655422289,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2000,NA,3.43,3.209,0.0443,0.013804924,54.51,442.61,53.83,50.42,28.99,1.856847189,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2000,NA,3.459,3.291,0.0424,0.012883622,40.91,444.11,40.26,37.8,21.35,1.885714286,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2000,NA,3.367,3.13,0.0435,0.013897764,46.64,446.86,45.85,43.36,25.01,1.833266693,NA
R3,Waddell Canal,cap,waddell canal,2000,NA,2.918,2.943,0.0417,0.014169215,53.51,445.81,53.03,49.3,28.6,1.854195804,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,NA,1.469,1.406,0.0326,0.023186344,49.61,445.92,49.13,47.58,28.87,1.70176654,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2000,NA,1.97,2.016,0.0344,0.017063492,35.84,443.92,35.35,34.04,19.59,1.804492088,NA
