site number,site location,Cluster,site acronym,date,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2011,NA,NA,3.7,0.0724,1.956756757,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2011,NA,NA,3.7,0.0719,1.943243243,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2011,NA,NA,2.2,0.0322,1.463636364,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2011,NA,NA,2.9,0.0467,1.610344828,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2011,NA,NA,2.4,0.0265,1.104166667,NA,NA,NA,NA,NA,NA,NA
VV West,Val Vista West WTP treated water,srp,val vista west-treated,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
An in,Anthem WTP inlet,NA,anthem,2011,NA,NA,2.748823986,0.0421,1.531564051,NA,NA,NA,NA,NA,NA,NA
An out,Anthem WTP outlet,NA,anthem,2011,NA,NA,2.4098471,0.0415,1.722100958,NA,NA,NA,NA,NA,NA,NA
CH in,Chandler inlet,chandler,chandler inlet,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH out,Chandler treated,chandler,chandler treated,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glen In,Glendale WTP Inlet,NA,Glen In,2011,NA,NA,2.215427159,0.0502,2.265928708,NA,NA,NA,NA,NA,NA,NA
Glen Out,Glendale WTP Outlet,NA,Glen Out,2011,NA,NA,1.424023634,0.024,1.685365287,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,2011,NA,NA,1.80462926,0.0429,2.377219574,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,2011,NA,NA,1.736010457,0.0203,1.169347795,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,2011,NA,NA,5.07,0.046,0.90729783,NA,NA,NA,NA,NA,NA,NA
HOC,Head of the Consolidated Canal,az canal,head of the consolidated canal,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2011,NA,NA,1.910759675,0.0444,2.323683119,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the Consolidated canal,az canal,middle of the consolidated canal,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2011,NA,NA,2.014602796,0.0468,2.323038571,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2011,NA,NA,1.135367203,0.0188,1.655851952,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2011,NA,NA,1.939122113,0.0461,2.377364462,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2011,NA,NA,1.840311037,0.0446,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2011,NA,NA,1.832991698,0.0431,2.351347256,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2011,NA,NA,2.52,0.087,3.452380952,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2011,NA,NA,2.09694536,0.0476,2.269968542,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2011,NA,NA,1.948271287,0.0458,2.350801981,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,2011,NA,NA,1.725488907,0.041,2.376138138,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,2011,NA,NA,2.662364294,0.0438,1.645154275,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2011,NA,NA,2.561723384,0.0517,2.018172623,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2011,NA,NA,3.205367754,0.0532,1.659715954,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,2011,NA,NA,4.307385726,0.0761,1.766732883,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,2011,NA,NA,4.498145998,0.0762,1.694031275,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2011,NA,NA,4.706747158,0.0767,1.629575531,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2011,NA,NA,1.866843641,0.0446,2.389059213,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2011,NA,NA,2.771239461,0.0421,1.519175827,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2011,NA,NA,2.313323318,0.0254,1.097987463,NA,NA,NA,NA,NA,NA,NA
VV West,Val Vista West WTP treated water,srp,val vista west-treated,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
An in,Anthem WTP inlet,NA,anthem,2012,NA,NA,2.56,0.045,1.7578125,NA,NA,NA,NA,NA,NA,NA
An out,Anthem WTP outlet,NA,anthem,2012,NA,NA,2.76,0.043,1.557971014,NA,NA,NA,NA,NA,NA,NA
Ch in,Chandler WTP inlet,NA,chandler,2012,NA,NA,1.78,0.04,2.247191011,NA,NA,NA,NA,NA,NA,NA
Ch out,Chandler WTP outlet,NA,chandler,2012,NA,NA,2.01,0.027,1.343283582,NA,NA,NA,NA,NA,NA,NA
Glen In,Glendale WTP Inlet,NA,Glen In,2012,NA,NA,2.14,0.051,2.38317757,NA,NA,NA,NA,NA,NA,NA
Glen Out,Glendale WTP Outlet,NA,Glen Out,2012,NA,NA,1.52,0.029,1.907894737,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,2012,NA,NA,2.6,0.046,1.769230769,NA,NA,NA,NA,NA,NA,NA
HOC,Head of the Consolidated Canal,az canal,head of the consolidated canal,2012,NA,NA,1.9,0.046,2.421052632,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,2012,NA,NA,2,0.045,2.25,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the Consolidated canal,az canal,middle of the consolidated canal,2012,NA,NA,1.4,0.028,2,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2012,NA,NA,2.39,0.058,2.426778243,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2012,NA,NA,0.28,0.053,18.92857143,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2012,NA,NA,2.08,0.053,2.548076923,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2012,NA,NA,2.8,0.046,1.642857143,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2012,NA,NA,2.8,0.047,1.678571429,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2012,NA,NA,2.3,0.055,2.391304348,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2012,NA,NA,2.2,0.055,2.5,NA,NA,NA,NA,NA,NA,NA
R6C,Bartlett Reservoir near outlet,verde,bartlett-dock,2012,NA,NA,2.5,0.057,2.28,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,2012,NA,NA,4.03,0.08,0.8,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,2012,NA,NA,3.97,0.08,0.85,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2012,NA,NA,4.36,0.08,0.96,NA,NA,NA,NA,NA,NA,NA
R9C,Saguaro Lake near inlet,salt,saugaro-dock,2012,NA,NA,3.72,0.077,0.6,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2012,NA,NA,2,0.047,2.35,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2012,NA,NA,1.76,0.041,2.329545455,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2012,NA,NA,1.3,0.024,1.846153846,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2012,NA,NA,2.59,0.05,1.8,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2012,NA,NA,2.38,0.029,1.218487395,NA,NA,NA,NA,NA,NA,NA
VV West,Val Vista West WTP treated water,srp,val vista west-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
An in,Anthem WTP inlet,NA,anthem,2012,NA,NA,2.84,0.035,1.232394366,NA,NA,NA,NA,NA,NA,NA
An out,Anthem WTP outlet,NA,anthem,2012,NA,NA,2.56,0.034,1.328125,NA,NA,NA,NA,NA,NA,NA
Ch in,Chandler WTP inlet,NA,chandler,2012,NA,NA,1.69,0.029,1.715976331,NA,NA,NA,NA,NA,NA,NA
Ch out,Chandler WTP outlet,NA,chandler,2012,NA,NA,1.34,0.016,1.194029851,NA,NA,NA,NA,NA,NA,NA
Glen In,Glendale WTP Inlet,NA,Glen In,2012,NA,NA,2.5,0.044,1.76,NA,NA,NA,NA,NA,NA,NA
Glen Out,Glendale WTP Outlet,NA,Glen Out,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,2012,NA,NA,2.64,0.046,1.742424242,NA,NA,NA,NA,NA,NA,NA
HOC,Head of the Consolidated Canal,az canal,NA,2012,NA,NA,1.75,0.03,1.714285714,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,2012,NA,NA,1.72,0.03,1.744186047,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2012,NA,NA,2.04,0.037,1.81372549,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the Consolidated canal,az canal,NA,2012,NA,NA,1.79,0.032,1.787709497,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2012,NA,NA,2.12,0.038,1.79245283,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2012,no water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2012,NA,NA,1.99,0.037,1.859296482,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2012,NA,NA,1.98,0.037,1.868686869,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2012,NA,NA,0.74,0.018,2.432432432,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2012,NA,NA,2.54,0.046,1.811023622,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2012,NA,NA,2.02,0.037,1.831683168,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,2012,NA,NA,2.03,0.037,1.822660099,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2012,NA,NA,2.99,0.044,1.471571906,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2012,NA,NA,2.8,0.045,1.607142857,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,2012,NA,NA,2.74,0.037,1.350364964,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2012,NA,NA,2.25,0.042,1.866666667,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2012,NA,NA,2.28,0.042,1.842105263,NA,NA,NA,NA,NA,NA,NA
R6C,Bartlett Reservoir near outlet,verde,bartlett-dock,2012,NA,NA,9.67,0.041,0.423991727,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,2012,NA,NA,4.2,0.07,1.666666667,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,2012,NA,NA,4.35,0.071,1.632183908,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2012,NA,NA,4.31,0.069,1.600928074,NA,NA,NA,NA,NA,NA,NA
R9C,Saguaro Lake near inlet,salt,saugaro-dock,2012,NA,NA,4.17,0.069,1.654676259,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2012,NA,NA,2.04,0.038,1.862745098,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2012,NA,NA,1.74,0.029,1.666666667,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,2012,NA,NA,1.05,0.009,0.857142857,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,2012,NA,NA,2.68,0.04,1.492537313,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2012,NA,NA,2.24,0.02,0.892857143,NA,NA,NA,NA,NA,NA,NA
VV West,Val Vista West WTP treated water,srp,val vista west-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
An in,Anthem WTP inlet,NA,anthem,2012,NA,NA,3.19,0.051,1.598746082,NA,NA,NA,NA,NA,NA,NA
An out,Anthem WTP outlet,NA,anthem,2012,NA,NA,2.96,0.047,1.587837838,NA,NA,NA,NA,NA,NA,NA
Ch in,Chandler WTP inlet,NA,chandler,2012,NA,NA,3.23,0.062,1.919504644,NA,NA,NA,NA,NA,NA,NA
Ch out,Chandler WTP outlet,NA,chandler,2012,NA,NA,2.6,0.041,1.576923077,NA,NA,NA,NA,NA,NA,NA
Glen In,Glendale WTP Inlet,NA,Glen In,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glen Out,Glendale WTP Outlet,NA,Glen Out,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,2012,NA,NA,3.2,0.026,0.8125,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,2012,NA,NA,2.9,0.029,1,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,2012,NA,NA,2.416274913,0.047,1.945142903,NA,NA,NA,NA,NA,NA,NA
HOC,Head of the Consolidated Canal,az canal,NA,2012,NA,NA,2.73,0.061,2.234432234,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,2012,NA,NA,3.27,0.062,1.896024465,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2012,NA,NA,3.7,0.071,1.918918919,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOC,Middle of the Consolidated canal,az canal,NA,2012,NA,NA,3.04,0.061,2.006578947,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2012,offline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2012,NA,NA,3.81,0.068,1.784776903,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2012,NA,NA,5.36,0.079,1.473880597,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2012,NA,NA,3.56,0.071,1.994382022,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2012,NA,NA,4.05,0.071,1.75308642,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
