"site number","site location","Cluster","site acronym","date","sample type","nutrient comments","total_nitrogen","total_dissolved_nitrogen","total_phosphorus","total_dissolved_phosphorus","nitrate_nitrogen","ammonium_nitrogen","dissolved_organic_nitrogen"
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-05-03",NA,NA,NA,0.27,24.2,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-05-03",NA,NA,NA,0.25,22.3,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-05-03",NA,NA,NA,0.17,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-05-03",NA,NA,NA,0.25,6.5,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-05-03",NA,NA,NA,0.27,5.5,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-05-03",NA,NA,NA,0.21,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-05-03",NA,NA,NA,0.28,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-05-03",NA,NA,NA,0.24,8,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-05-03",NA,NA,NA,0.33,6.4,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-05-03",NA,NA,NA,0.64,27,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-05-03",NA,NA,NA,0.58,9.5,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-05-03",NA,NA,NA,0.46,2,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-05-03",NA,NA,NA,0.29,12.6,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-05-03",NA,NA,NA,0.47,32.8,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-05-03",NA,NA,NA,0.38,11,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2010-05-03",NA,NA,NA,0.34,14.3,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-05-03",NA,NA,NA,0.55,24.6,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-05-03",NA,NA,NA,0.31,12,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-05-03",NA,NA,NA,0.26,6.5,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-05-03",NA,NA,NA,0.23,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-05-03",NA,NA,NA,0.4,8.3,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-05-03",NA,NA,NA,0.35,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista WEST-treated","2010-05-03",NA,NA,NA,0.25,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glendale WTP Inlet","2010-06-01",NA,NA,NA,0.32,15.1,NA,NA,NA,NA
"Glendale Out","Glendale WTP Outlet","srp","Glendale WTP Outlet","2010-06-01",NA,NA,NA,0.24,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Greenway WTP Inlet","2010-06-01",NA,NA,NA,0.34,13.3,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Greenway WTP Outlet","2010-06-01",NA,NA,NA,0.32,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-06-01",NA,NA,NA,0.29,8.1,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-06-01",NA,NA,NA,0.29,22.7,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-06-01",NA,NA,NA,0.32,10.9,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-06-01",NA,NA,NA,0.28,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-06-01",NA,NA,NA,0.28,9.4,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2010-06-01",NA,NA,NA,0.35,16.1,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-06-01",NA,NA,NA,0.31,12,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-06-01",NA,NA,NA,0.31,9.4,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-06-01",NA,NA,NA,0.26,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-06-01",NA,NA,NA,0.33,13.2,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-06-01",NA,NA,NA,0.24,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-06-01",NA,NA,NA,0.31,9,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-06-01",NA,NA,NA,0.28,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-06-01",NA,NA,NA,0.31,13.1,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-06-01",NA,NA,NA,0.33,12.8,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-06-01",NA,NA,NA,0.83,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-06-01",NA,NA,NA,0.29,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-06-01",NA,NA,NA,0.44,4.6,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-06-01",NA,NA,NA,0.34,5.8,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-06-01",NA,NA,NA,0.55,38.7,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-06-01",NA,NA,NA,0.46,11,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2010-06-01",NA,NA,NA,0.49,12.2,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-06-01",NA,NA,NA,0.51,11.1,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-06-01",NA,NA,NA,0.32,8,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-06-01",NA,NA,NA,0.32,12.4,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-06-01",NA,NA,NA,0.31,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-06-01",NA,NA,NA,0.45,6.7,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-06-01",NA,NA,NA,0.39,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista WEST-treated","2010-06-01",NA,NA,NA,0.22,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glendale WTP Inlet","2010-07-01",NA,NA,NA,0.3,57.3,NA,NA,NA,NA
"Glendale Out","Glendale WTP Outlet","srp","Glendale WTP Outlet","2010-07-01",NA,NA,NA,0.22,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Greenway WTP Inlet","2010-07-01",NA,NA,NA,0.33,15.4,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Greenway WTP Outlet","2010-07-01",NA,NA,NA,0.29,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-07-01",NA,NA,NA,0.28,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-07-01",NA,NA,NA,0.29,45,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-07-01",NA,NA,NA,0.34,50.5,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-07-01",NA,NA,NA,0.55,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2010-07-01",NA,NA,NA,0.27,55.3,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2010-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2010-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-07-01",NA,NA,NA,0.31,42.9,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-07-01",NA,NA,NA,0.26,33.5,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-07-01",NA,NA,NA,0.19,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-07-01",NA,NA,NA,0.31,64.5,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-07-01",NA,NA,NA,0.23,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-07-01",NA,NA,NA,0.25,44.1,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-07-01",NA,NA,NA,0.24,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-07-01",NA,NA,NA,0.26,83,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-07-01",NA,NA,NA,0.27,39.2,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-07-01",NA,NA,NA,0.27,35,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-07-01",NA,NA,NA,0.33,61.2,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-07-01",NA,NA,NA,0.32,17.9,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-07-01",NA,NA,NA,0.76,25.8,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-07-01",NA,NA,NA,0.71,37,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-07-01",NA,NA,NA,0.36,10.4,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-07-01",NA,NA,NA,0.44,14.7,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-07-01",NA,NA,NA,0.5,17.6,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2010-07-01",NA,NA,NA,0.46,21,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-07-01",NA,NA,NA,0.52,18.7,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-07-01",NA,NA,NA,0.33,45,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-07-01",NA,NA,NA,0.31,17,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-07-01",NA,NA,NA,0.21,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista WEST-treated","2010-07-01",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glendale WTP Inlet","2010-08-01",NA,NA,NA,0.33,37.7,NA,NA,NA,NA
"Glendale Out","Glendale WTP Outlet","srp","Glendale WTP Outlet","2010-08-01",NA,NA,NA,0.27,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Greenway WTP Inlet","2010-08-01",NA,NA,NA,0.44,87.5,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Greenway WTP Outlet","2010-08-01",NA,NA,NA,0.42,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-08-01",NA,NA,NA,0.51,4.7,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-08-01",NA,NA,NA,NA,35.8,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-08-01",NA,NA,NA,NA,31.1,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-08-01",NA,NA,NA,0.28,25.9,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-08-01",NA,NA,NA,0.68,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2010-08-01",NA,NA,NA,0.31,36.5,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2010-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2010-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-08-01",NA,NA,NA,0.28,38.1,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-08-01",NA,NA,NA,0.35,25.5,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-08-01",NA,NA,NA,0.19,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-08-01",NA,NA,NA,0.44,42.6,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-08-01",NA,NA,NA,0.26,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-08-01",NA,NA,NA,0.25,63.3,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-08-01",NA,NA,NA,0.19,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-08-01",NA,NA,NA,0.15,54.5,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-08-01",NA,NA,NA,0.3,33.6,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-08-01",NA,NA,NA,0.29,29.6,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-08-01",NA,NA,NA,0.29,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-08-01",NA,NA,NA,0.73,12.4,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-08-01",NA,NA,NA,0.3,7.3,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-08-01",NA,NA,NA,0.69,35,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-08-01",NA,NA,NA,0.28,16.4,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-08-01",NA,NA,NA,0.39,12.1,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-08-01",NA,NA,NA,0.45,16.3,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2010-08-01",NA,NA,NA,0.49,15,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-08-01",NA,NA,NA,0.73,16.7,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-08-01",NA,NA,NA,0.3,40.4,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-08-01",NA,NA,NA,0.61,19.2,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-08-01",NA,NA,NA,0.21,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-08-01",NA,NA,NA,0.59,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista WEST-treated","2010-08-01",NA,NA,NA,0.18,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glendale WTP Inlet","2010-09-01",NA,NA,NA,0.94,58.2,NA,NA,NA,NA
"Glendale Out","Glendale WTP Outlet","srp","Glendale WTP Outlet","2010-09-01",NA,NA,NA,1.06,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Greenway WTP Inlet","2010-09-01",NA,NA,NA,1.68,38.1,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Greenway WTP Outlet","2010-09-01",NA,NA,NA,1.34,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-09-01",NA,NA,NA,0.6,13,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-09-01",NA,NA,NA,0.34,43.4,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-09-01",NA,NA,NA,0.33,40,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-09-01",NA,NA,NA,0.35,46.2,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-09-01",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2010-09-01",NA,NA,NA,0.39,33.3,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2010-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2010-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-09-01",NA,NA,NA,0.4,36.6,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-09-01",NA,NA,NA,0.35,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-09-01",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-09-01",NA,NA,NA,0.72,67.3,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-09-01",NA,NA,NA,0.58,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-09-01",NA,NA,NA,0.43,73,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-09-01",NA,NA,NA,0.34,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-09-01",NA,NA,NA,1.03,36.7,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-09-01",NA,NA,NA,0.35,59.3,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-09-01",NA,NA,NA,0.35,40.3,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-09-01",NA,NA,NA,0.26,32.4,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-09-01",NA,NA,NA,0.61,25.2,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-09-01",NA,NA,NA,0.33,10.6,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-09-01",NA,NA,NA,0.5,27.1,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-09-01",NA,NA,NA,0.42,15.6,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-09-01",NA,NA,NA,0.59,10.4,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-09-01",NA,NA,NA,0.41,17,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2010-09-01",NA,NA,NA,0.49,16.7,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-09-01",NA,NA,NA,0.71,19.3,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-09-01",NA,NA,NA,0.35,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-09-01",NA,NA,NA,0.35,29.8,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-09-01",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-09-01",NA,NA,NA,0.34,NA,NA,NA,NA,NA
"VV West","Val Vista West WTP treated water","srp","val vista WEST-treated","2010-09-01",NA,NA,NA,0.27,NA,NA,NA,NA,NA
"Glendale In","Glendale WTP Inlet","srp","Glendale WTP Inlet","2010-10-01",NA,NA,NA,0.41,55.1,NA,NA,NA,NA
"Glendale Out","Glendale WTP Outlet","srp","Glendale WTP Outlet","2010-10-01",NA,NA,NA,0.32,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Greenway WTP Inlet","2010-10-01",NA,NA,NA,0.49,39.1,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Greenway WTP Outlet","2010-10-01",NA,NA,NA,0.46,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-10-01",NA,NA,NA,0.57,22.3,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-10-01",NA,NA,NA,0.43,30.9,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-10-01",NA,NA,NA,0.39,36.6,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-10-01",NA,NA,NA,0.39,28,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-10-01",NA,NA,NA,0.68,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2010-10-01",NA,NA,NA,0.35,32.3,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2010-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2010-10-01",NA,NA,NA,0.38,48.2,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-10-01",NA,NA,NA,0.39,42.8,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-10-01",NA,NA,NA,0.1,14.4,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-10-01",NA,NA,NA,0.38,31.2,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-10-01",NA,NA,NA,0.37,29,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-10-01",NA,NA,NA,0.38,39.7,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-10-01",NA,NA,NA,0.51,30.1,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-10-01",NA,NA,NA,0.34,18.4,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-10-01",NA,NA,NA,0.48,7.2,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-10-01",NA,NA,NA,0.29,10.4,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-10-01",NA,NA,NA,0.35,9.9,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-10-01",NA,NA,NA,0.4,11.5,NA,NA,NA,NA
