"Site Number","Site location","Cluster","Site Acronym","Arsenic (ug/L)","Perchlorate (ug/L)","date"
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,"2006-12-05"
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,"2006-12-05"
"Green In","Greenway Water Treatment Plant","srp","Green In",NA,NA,"2007-01-09"
"Green Out","Greenway Water Treatment Plant","srp","Green Out",NA,NA,"2007-01-09"
"Havasu 1","Lake havasu",NA,"Havasu 1",2,NA,"2007-01-09"
"Havasu 2","Lake havasu",NA,"Havasu 2",NA,NA,"2007-01-09"
"HTC","Tempe Canal","tempe","head of tempe canal",11.3,NA,"2007-01-09"
"Hwy 87","Granite Reef Recreational Area","srp","az canal @ hwy 87",10.9,NA,"2007-01-09"
"NP In","tempe canal","tempe","North plant inlet",NA,NA,"2007-01-09"
"NP Out","Tempe Canal","tempe","north plant outlet",NA,NA,"2007-01-09"
"Pima","Arizona Canal","srp","az canal @ pima",9.8,NA,"2007-01-09"
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.5,NA,"2007-01-09"
"R11","Central Arizona Project Aqueduct","cap","cap @ x con",NA,NA,"2007-01-09"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5.8,NA,"2007-01-09"
"R13","Steele Indian School Park","srp","az canal blw cap",9.6,NA,"2007-01-09"
"R14","24th Street Water Treatment Plant","srp","az canal @ squaw peak",NA,NA,"2007-01-09"
"R15","24th Street Water Treatment Plant","srp","squaw peak-treated",NA,NA,"2007-01-09"
"R16","Deer Valley Water treatment plant","srp","az canal @ deer valley",NA,NA,"2007-01-09"
"R17","Deer Valley water treatment plant","srp","deer valley-treated",NA,NA,"2007-01-09"
"R18","Val Vista Water Treatment Plant","srp","s canal @ val vista",9.3,NA,"2007-01-09"
"R19","Val Vista Water Treatment Plant","srp","val vista-treated",5,NA,"2007-01-09"
"R20","Tangle Creek","verde","verde abv horseshoe",15.9,NA,"2007-01-09"
"R21","Steele Indian School Park","srp","az canal @ central ave.",10.6,NA,"2007-01-09"
"R22","Arizona Falls","srp","az canal @ 56th st.",11.3,NA,"2007-01-09"
"R25","verde river at beeline highway","verde","verde @ beeline",12.2,NA,"2007-01-09"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.6,NA,"2007-01-09"
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.5,NA,"2007-01-09"
"R3","Waddell Canal","cap","waddell canal",0,NA,"2007-01-09"
"R6A","Bartlett Reservoir ","verde","bartlett-epi",12.6,NA,"2007-01-09"
"R6B","Bartlett Reservoir ","verde","bartlett-hypo",12.8,NA,"2007-01-09"
"R9A","Saguaro Lake","salt","saguaro-epi",4.1,NA,"2007-01-09"
"R9A-Dup","Saguaro Lake",NA,"saguaro-epi dup",4.2,NA,"2007-01-09"
"R9B","Saguaro Lake","salt","saguaro-hypo",3.9,NA,"2007-01-09"
"SOCA","park of the canals","srp","South canal below CAP",11.4,NA,"2007-01-09"
"SPT In","South Tempe Water Plant","tempe","STP In",11.2,NA,"2007-01-09"
"SPT Out","South Tempe Water Plant","tempe","STP Out",7.2,NA,"2007-01-09"
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,"2007-01-09"
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,"2007-01-09"
"Green In","Greenway Water Treatment Plant","srp","Green In",NA,NA,"2007-02-05"
"Green Out","Greenway Water Treatment Plant","srp","Green Out",NA,NA,"2007-02-05"
